Genotype	Pop	Sex	Sample	TGA.Plate	TGA	TGA.Prot	Protein	TGA.CanS
FFD16	FFD	M	B2	06282017-1	1.587	0.190287769784173	8.34	1.49832889593837
FFD16	FFD	M	C2	06282017-1	0.951	0.108068181818182	8.8	0.850930565497496
FFD16	FFD	M	D2	06282017-1	0.744	0.0808695652173913	9.2	0.636768230058199
FFD16	FFD	M	E2	06282017-1	1.1	0.117899249732047	9.33	0.928340549071236
FFD16	FFD	M	F2	06282017-1	0.28	0.030010718113612	9.33	0.236304867036315
FFD23	FFD	M	A2	06282017-1	1.334	0.191942446043165	6.95	1.51135784285957
FFD23	FFD	M	B2	06282017-1	1.514	0.175842044134727	8.61	1.38458302468289
FFD23	FFD	M	C2	06282017-1	1.349	0.15926800472255	8.47	1.25407877734291
FFD23	FFD	M	D2	06282017-1	1.83	0.221818181818182	8.25	1.74659985683608
FFD23	FFD	M	E2	06282017-1	1.649	0.25765625	6.4	2.02878937007874
FFD23	FFD	M	F2	06282017-1	1.749	0.247033898305085	7.08	1.94514880555185
PC155	PC	M	A2	06282017-1	1.516	0.219710144927536	6.9	1.7300011411617
PC155	PC	M	B2	06282017-1	1.58	0.232352941176471	6.8	1.82955071792497
PC155	PC	M	C2	06282017-1	1.29	0.167532467532468	7.7	1.31915328765723
PC155	PC	M	D2	06282017-1	1.33	0.16625	8	1.30905511811024
PC155	PC	M	E2	06282017-1	0.894	0.113164556962025	7.9	0.891059503637992
PC155	PC	M	F2	06282017-1	1.743	0.226363636363636	7.7	1.78239083750894
PC200	PC	M	A1	06282017-1	0.655	0.142391304347826	4.6	1.12119137281753
PC200	PC	M	B1	06282017-1	1.098	0.138987341772152	7.9	1.09438851789096
PC200	PC	M	C1	06282017-1	0.715	0.108333333333333	6.6	0.853018372703409
PC200	PC	M	D1	06282017-1	0.665	0.10390625	6.4	0.818159448818898
PC200	PC	M	E1	06282017-1	0.69	0.0980113636363636	7.04	0.771743020758768
PC200	PC	M	F1	06282017-1	0.296	0.0441791044776119	6.7	0.347866964390645
FFD16	FFD	F	A2	06282017-2	2.23	0.202359346642468	11.02	1.38602292220869
FFD16	FFD	F	B2	06282017-2	1.463	0.140673076923077	10.4	0.963514225500527
FFD16	FFD	F	C2	06282017-2	1.217	0.108855098389982	11.18	0.745582865684808
FFD16	FFD	F	D2	06282017-2	1.11	0.0932773109243697	11.9	0.638885691262806
FFD16	FFD	F	E2	06282017-2	1.257	0.119259962049336	10.54	0.816849055132438
FFD16	FFD	F	F2	06282017-2	1.392	0.117073170731707	11.89	0.801871032408952
FFD23	FFD	F	A2	06282017-2	2.412	0.226266416510319	10.66	1.54976997609808
FFD23	FFD	F	B2	06282017-2	2.317	0.199741379310345	11.6	1.36809163911195
FFD23	FFD	F	C2	06282017-2	1.718	0.157182067703568	10.93	1.07658950481896
FFD23	FFD	F	D2	06282017-2	1.822	0.169804287045666	10.73	1.16304306195662
FFD23	FFD	F	E2	06282017-2	1.834	0.168256880733945	10.9	1.15244438858866
FFD23	FFD	F	F2	06282017-2	1.17	0.137485311398355	8.51	0.941680215057226
PC113	PC	F	A2	06282017-2	0.562	0.0567676767676768	9.9	0.388819703888197
PC113	PC	F	B2	06282017-2	2.186	0.200919117647059	10.88	1.37615834004835
PC113	PC	F	C2	06282017-2	1.631	0.152003727865797	10.73	1.04112142373834
PC113	PC	F	D2	06282017-2	0.95	0.0900473933649289	10.55	0.616762968252938
PC113	PC	F	E2	06282017-2	0.995	0.103322949117342	9.63	0.707691432310562
PC113	PC	F	F2	06282017-2	1.805	0.1444	12.5	0.989041095890411
PC155	PC	F	A2	06282017-2	1.477	0.1477	10	1.01164383561644
PC155	PC	F	B2	06282017-2	1.47	0.154736842105263	9.5	1.05984138428262
PC155	PC	F	C2	06282017-2	1.164	0.114117647058824	10.2	0.781627719580986
PC155	PC	F	D2	06282017-2	1.227	0.115754716981132	10.6	0.792840527268027
PC155	PC	F	E2	06282017-2	1.341	0.191571428571429	7	1.31213307240705
PC155	PC	F	F2	06282017-2	0.956	0.144629349470499	6.61	0.990611982674651
FFD14	FFD	M	A2	07082017-1	1.407	0.218715995647443	6.433	1.11589793697675
FFD14	FFD	M	B2	07082017-1	1.932	0.280936454849498	6.877	1.43334925943621
FFD14	FFD	M	C2	07082017-1	1.345	0.192142857142857	7	0.980320699708454
FFD14	FFD	M	D2	07082017-1	1.914	0.235424354243542	8.13	1.20114466450787
FFD14	FFD	M	E2	07082017-1	1.514	0.3028	5	1.54489795918367
FFD14	FFD	M	F2	07082017-1	2.23	0.269323671497585	8.28	1.3741003647836
FFD6	FFD	M	A3	07082017-1	1.641	0.213671875	7.68	1.09016262755102
FFD6	FFD	M	B3	07082017-1	1.232	0.146318289786223	8.42	0.746521886664403
