Genotype	Pop	Sex	Sample	Glu-Plate	Glucose	Protein-Plate	Protein	Glu-Pro	Glu-CanS
FFD6	FFD	M	D3	11082017-2	0.38	06272017-4	8.81	0.0431328036322361	1.23236581806389
FFD6	FFD	M	E3	11082017-2	0.423	06272017-4	9.42	0.0449044585987261	1.28298453139217
FFD6	FFD	M	F3	11082017-2	0.284	06272017-4	6	0.0473333333333333	1.35238095238095
PC113	PC	M	A4	02222019-3	0.338531371257047	12232017-1	4.34525540370262	0.0779082792161267	2.12864150863734
PC113	PC	M	B4	02222019-3	0.288454498865217	12232017-1	3.97014636037608	0.0726558853709092	1.98513348007949
PC113	PC	M	C4	02222019-3	0.378358591404934	12232017-1	5.88252398953184	0.0643190902541556	1.75735219273649
PC113	PC	M	D4	02222019-3	0.367523244747053	12232017-1	5.74779490161869	0.0639416073533785	1.7470384522781
PC113	PC	M	E4	02222019-3	0.258584083754301	12232017-1	4.85800135698362	0.0532284914623528	1.45433036782385
PC113	PC	M	F4	02222019-3	5.25748590672816	12232017-1	3.80730832606378	1.38089312881147	37.7293204593298
PC113	PC	M	A2	08162017-2	0.21259	08112017-4	6.8	0.0312632352941176	0.947370766488412
PC113	PC	M	B2	08162017-2	0.291	08112017-4	7.24	0.0401933701657459	1.21798091411351
PC113	PC	M	C2	08162017-2	0.298	08112017-4	6.37	0.0467817896389325	1.41762998905856
PC113	PC	M	D2	08162017-2	0.331	08112017-4	5.69	0.0581722319859402	1.76279490866485
PC113	PC	M	E2	08162017-2	0.282	08112017-4	6.02	0.046843853820598	1.4195107218363
PC113	PC	M	F2	08162017-2	0.344	08112017-4	6.5	0.0529230769230769	1.6037296037296
PC113	PC	M	A3	11082017-2	0.376	12042017-3	6.5	0.0578461538461538	1.65274725274725
PC113	PC	M	B3	11082017-2	0.327	12042017-3	7.3	0.0447945205479452	1.27984344422701
PC113	PC	M	C3	11082017-2	0.398	12042017-3	7.41	0.0537112010796221	1.53460574513206
PC113	PC	M	D3	11082017-2	0.363	12042017-3	9.1	0.0398901098901099	1.13971742543171
PC113	PC	M	E3	11082017-2	0.266	12042017-3	5.6	0.0475	1.35714285714286
PC113	PC	M	F3	11082017-2	0.575	12042017-3	7.6	0.0756578947368421	2.16165413533835
PC114	PC	M	A2	07112017-1	0.411	06272017-2	7.55	0.0544370860927152	2.17748344370861
PC114	PC	M	B2	07112017-1	0.313	06272017-2	8.17	0.0383108935128519	1.53243574051408
PC114	PC	M	C2	07112017-1	0.366	06272017-2	8.23	0.0444714459295261	1.77885783718104
PC114	PC	M	D2	07112017-1	0.399	06272017-2	8.17	0.0488372093023256	1.95348837209302
PC114	PC	M	E2	07112017-1	0.296	06272017-2	7.4	0.04	1.6
PC114	PC	M	F2	07112017-1	0.355	06272017-2	8.7	0.0408045977011494	1.63218390804598
PC114	PC	M	A4	11082017-1	0.385	08112017-4	6.9	0.0557971014492754	1.79990649836372
PC114	PC	M	B4	11082017-1	0.314	08112017-4	7.24	0.0433701657458564	1.39903760470505
PC114	PC	M	C4	11082017-1	0.416	08112017-4	6.4	0.065	2.09677419354839
PC114	PC	M	D4	11082017-1	0.286	08112017-4	5.7	0.0501754385964912	1.61856253537068
PC114	PC	M	E4	11082017-1	0.335	08112017-4	6.02	0.0556478405315615	1.79509163005037
PC114	PC	M	F4	11082017-1	0.328	08112017-4	6.5	0.0504615384615385	1.62779156327544
PC114	PC	M	A3	11082017-2	0.4936	08142017-2	8.4	0.0587619047619048	1.67891156462585
PC114	PC	M	B3	11082017-2	0.3889	08142017-2	8.22	0.0473114355231144	1.35175530066041
PC114	PC	M	C3	11082017-2	0.488	08142017-2	9.12	0.0535087719298246	1.52882205513785
PC114	PC	M	D3	11082017-2	0.5035	08142017-2	9.55	0.0527225130890052	1.50635751682872
PC114	PC	M	E3	11082017-2	0.213	08142017-2	4.03	0.0528535980148883	1.51010280042538
PC114	PC	M	F3	11082017-2	0.4372	08142017-2	9.14	0.0478336980306346	1.36667708658956
PC12	PC	M	A2	07112017-1	0.341	08142017-5	6.9	0.0494202898550725	1.9768115942029
PC12	PC	M	B2	07112017-1	0.235	08142017-5	7.2	0.0326388888888889	1.30555555555556
PC12	PC	M	C2	07112017-1	0.276	08142017-5	7	0.0394285714285714	1.57714285714286
PC12	PC	M	D2	07112017-1	0.227	08142017-5	4	0.05675	2.27
PC12	PC	M	E2	07112017-1	0.168	08142017-5	6.84	0.0245614035087719	0.982456140350876
PC12	PC	M	F2	07112017-1	0.245	08142017-5	4.1	0.0597560975609756	2.39024390243902
PC12	PC	M	A3	08162017-2	0.4232	08142017-12	7.93	0.0533669609079445	1.61718063357408
