Genotype	Pop	Sex	Sample	Glu-Plate	Glucose	Protein-Plate	Protein	Glu-Pro	Glu-CanS
FFD10	FFD	F	A1	08152017-2	0.714	11292017-1	12.97	0.0550501156515035	2.10919983339094
FFD10	FFD	F	B1	08152017-2	0.753	11292017-1	13.31	0.0565740045078888	2.1675863796126
FFD10	FFD	F	C1	08152017-2	0.518	11292017-1	10.8	0.047962962962963	1.83766141620548
FFD10	FFD	F	D1	08152017-2	0.773	11292017-1	13.7	0.0564233576642336	2.16181446989401
FFD10	FFD	F	E1	08152017-2	0.667	11292017-1	15.12	0.0441137566137566	1.6901822457378
FFD10	FFD	F	F1	08152017-2	0.709	11292017-1	11.54	0.0614384748700173	2.35396455440679
FFD10	FFD	F	A3	10262017-2	0.6525	08112017-2	10.6	0.0615566037735849	2.2968882005069
FFD10	FFD	F	B3	10262017-2	0.5325	08112017-2	12.3	0.0432926829268293	1.61539861667274
FFD10	FFD	F	C3	10262017-2	0.4912	08112017-2	11.7	0.041982905982906	1.56652634264575
FFD10	FFD	F	D3	10262017-2	0.6033	08112017-2	9.7	0.0621958762886598	2.32074165256193
FFD10	FFD	F	E3	10262017-2	0.6108	08112017-2	9.1	0.0671208791208791	2.50451041495818
FFD10	FFD	F	F3	10262017-2	0.7607	08112017-2	8.83	0.0861494903737259	3.21453322290022
FFD10	FFD	F	A2	12242017-1	0.564	08142017-5	13.27	0.0425018839487566	1.34926615710338
FFD10	FFD	F	B2	12242017-1	0.71	08142017-5	12.8	0.05546875	1.7609126984127
FFD10	FFD	F	C2	12242017-1	0.502	08142017-5	7.2	0.0697222222222222	2.21340388007055
FFD10	FFD	F	D2	12242017-1	0.491	08142017-5	9.1	0.053956043956044	1.71289028431886
FFD10	FFD	F	E2	12242017-1	0.51	08142017-5	9.4	0.0542553191489362	1.72239108409321
FFD10	FFD	F	F2	12242017-1	0.416	08142017-5	6.7	0.062089552238806	1.97109689647003
FFD14	FFD	F	A1	06222017-1	1.4826	09262016-1	10.95	0.135397260273973	2.88079277178666
FFD14	FFD	F	B1	06222017-1	1.58	09262016-1	11.3	0.139823008849558	2.97495763509698
FFD14	FFD	F	C1	06222017-1	1.778	09262016-1	10	0.1778	3.78297872340426
FFD14	FFD	F	D1	06222017-1	1.6338	09262016-1	10.03	0.162891326021934	3.4657728940837
FFD14	FFD	F	E1	06222017-1	1.364	09262016-1	9.7	0.140618556701031	2.99188418512832
FFD14	FFD	F	F1	06222017-1	1.31	09262016-1	8.8	0.148863636363636	3.16731141199226
FFD14	FFD	F	A3	08152017-2	0.8003	12042017-4	13.7	0.0584160583941606	2.23816315686439
FFD14	FFD	F	B3	08152017-2	0.9567	12042017-4	15.996	0.0598087021755439	2.29152115615111
FFD14	FFD	F	C3	08152017-2	0.6837	12042017-4	11.73	0.0582864450127877	2.23319712692673
FFD14	FFD	F	D3	08152017-2	0.9734	12042017-4	17.4	0.0559425287356322	2.14339190557978
FFD14	FFD	F	E3	08152017-2	0.7443	12042017-4	15.6	0.0477115384615385	1.82802829354554
FFD14	FFD	F	F3	08152017-2	1.08	12042017-4	14.8	0.072972972972973	2.79589934762349
FFD14	FFD	F	A4	08162017-1	0.638	08142017-1	11.1	0.0574774774774775	1.27727727727728
FFD14	FFD	F	B4	08162017-1	0.7	08142017-1	11.72	0.0597269624573379	1.32726583238529
FFD14	FFD	F	C4	08162017-1	1.178	08142017-1	12.7	0.092755905511811	2.06124234470691
FFD14	FFD	F	D4	08162017-1	0.878	08142017-1	12.1	0.0725619834710744	1.61248852157943
FFD14	FFD	F	E4	08162017-1	1.039	08142017-1	12.8	0.081171875	1.80381944444444
FFD14	FFD	F	F4	08162017-1	0.606	08142017-1	11.7	0.0517948717948718	1.15099715099715
FFD16	FFD	F	A2	06222017-1	0.535	08142017-8	11.02	0.0485480943738657	1.03293817816736
FFD16	FFD	F	B2	06222017-1	0.423	08142017-8	10.4	0.0406730769230769	0.865384615384615
FFD16	FFD	F	C2	06222017-1	0.585	08142017-8	11.18	0.0523255813953488	1.11331024245423
FFD16	FFD	F	D2	06222017-1	0.392	08142017-8	11.9	0.0329411764705882	0.700876095118898
FFD16	FFD	F	E2	06222017-1	0.526	08142017-8	10.54	0.0499051233396584	1.06181113488635
FFD16	FFD	F	F2	06222017-1	0.671	08142017-8	11.89	0.0564339781328848	1.20072293899755
FFD16	FFD	F	A3	10262017-1	0.61	08112017-7	11.02	0.0553539019963702	1.97692507129894
FFD16	FFD	F	B3	10262017-1	0.664	08112017-7	12.44	0.0533762057877814	1.90629306384934
FFD16	FFD	F	C3	10262017-1	0.611	08112017-7	13.5	0.0452592592592593	1.61640211640212
FFD16	FFD	F	D3	10262017-1	0.659	08112017-7	12.7	0.0518897637795276	1.85320584926884
FFD16	FFD	F	E3	10262017-1	0.653	08112017-7	11.5	0.0567826086956522	2.02795031055901
FFD16	FFD	F	F3	10262017-1	0.521	08112017-7	9.9	0.0526262626262626	1.87950937950938
FFD16	FFD	F	A4	12242017-1	0.816	08142017-3	11.6	0.0703448275862069	2.23316912972085
FFD16	FFD	F	B4	12242017-1	0.411	08142017-3	11.28	0.036436170212766	1.15670381627829
FFD16	FFD	F	C4	12242017-1	0.719	08142017-3	10.8	0.0665740740740741	2.11346266901823
FFD16	FFD	F	D4	12242017-1	0.827	08142017-3	13.34	0.0619940029985007	1.96806358725399
FFD16	FFD	F	E4	12242017-1	0.712	08142017-3	11.68	0.060958904109589	1.93520330506632
FFD16	FFD	F	F4	12242017-1	0.536	08142017-3	12.6	0.0425396825396825	1.35046611237087
FFD19	FFD	F	A3	10262017-1	0.7588	08142017-7	11.6	0.0654137931034483	2.33620689655172
FFD19	FFD	F	B3	10262017-1	0.63	08142017-7	11.28	0.0558510638297872	1.99468085106383
FFD19	FFD	F	C3	10262017-1	0.69	08142017-7	10.8	0.0638888888888889	2.28174603174603
FFD19	FFD	F	D3	10262017-1	1.04	08142017-7	13.34	0.0779610194902549	2.78432212465196
FFD19	FFD	F	E3	10262017-1	0.92	08142017-7	11.68	0.0787671232876712	2.81311154598826
FFD19	FFD	F	F3	10262017-1	0.524	08142017-7	12.6	0.0415873015873016	1.48526077097506
FFD19	FFD	F	A2	10262017-2	0.728	06152017-1	12.776	0.0569818409517846	2.12618809521584
FFD19	FFD	F	B2	10262017-2	0.479	06152017-1	10.2	0.0469607843137255	1.75226807140767
FFD19	FFD	F	C2	10262017-2	0.262	06152017-1	8.34	0.0314148681055156	1.17219657110133
FFD19	FFD	F	D2	10262017-2	0.28	06152017-1	9.87	0.0283687943262411	1.05853710172541
FFD19	FFD	F	E2	10262017-2	0.279	06152017-1	10.1	0.0276237623762376	1.03073740209842
FFD19	FFD	F	F2	10262017-2	NA	06152017-1	8.8	NA	NA
FFD19	FFD	F	A4	12242017-1	0.7686	08112017-4	9.2	0.0835434782608696	2.65217391304348
FFD19	FFD	F	B4	12242017-1	0.694	08112017-4	8.3	0.0836144578313253	2.65442723274049
FFD19	FFD	F	C4	12242017-1	0.858	08112017-4	11.78	0.0728353140916808	2.31223219338669
FFD19	FFD	F	D4	12242017-1	0.489	08112017-4	10.14	0.0482248520710059	1.53094768479384
FFD19	FFD	F	E4	12242017-1	0.949	08112017-4	9.98	0.0950901803607214	3.01873588446735
FFD19	FFD	F	F4	12242017-1	0.699	08112017-4	6.8	0.102794117647059	3.26330532212886
FFD2	FFD	F	A1	08162017-1	1.2395	12042017-6	13.46	0.0920876671619614	2.04639260359914
FFD2	FFD	F	B1	08162017-1	1.2447	12042017-6	11.71	0.106293766011956	2.36208368915458
FFD2	FFD	F	C1	08162017-1	0.8321	12042017-6	13.3	0.0625639097744361	1.39030910609858
FFD2	FFD	F	D1	08162017-1	0.77	12042017-6	14.02	0.0549215406562054	1.22047868124901
FFD2	FFD	F	E1	08162017-1	0.8778	12042017-6	13.2	0.0665	1.47777777777778
FFD2	FFD	F	F1	08162017-1	0.8026	12042017-6	14.1	0.0569219858156028	1.26493301812451
FFD2	FFD	F	A2	10262017-1	0.652	08142017-4	11.02	0.0591651542649728	2.11304122374903
FFD2	FFD	F	B2	10262017-1	0.581	08142017-4	10.4	0.0558653846153846	1.99519230769231
FFD2	FFD	F	C2	10262017-1	0.777	08142017-4	11.2	0.069375	2.47767857142857
FFD2	FFD	F	D2	10262017-1	0.507	08142017-4	11.8	0.0429661016949153	1.53450363196126
FFD2	FFD	F	E2	10262017-1	0.672	08142017-4	10.6	0.0633962264150943	2.26415094339622
FFD2	FFD	F	F2	10262017-1	0.599	08142017-4	11.9	0.0503361344537815	1.79771908763505
FFD2	FFD	F	A3	12242017-1	0.651	12042017-5	12.66	0.0514218009478673	1.63243812532912
FFD2	FFD	F	B3	12242017-1	NA	12042017-5	10.55	NA	NA
FFD2	FFD	F	C3	12242017-1	0.8195	12042017-5	12.67	0.0646803472770324	2.05334435800103
FFD2	FFD	F	D3	12242017-1	0.6359	12042017-5	14	0.0454214285714286	1.44195011337869
FFD2	FFD	F	E3	12242017-1	0.6105	12042017-5	14.5	0.0421034482758621	1.33661740558292
FFD2	FFD	F	F3	12242017-1	0.6176	12042017-5	14.03	0.0440199572344975	1.39745895982532
FFD22	FFD	F	A1	2222019	0.855202002145155	11292017-4	9.2	0.0929567393636038	2.88685525973925
FFD22	FFD	F	B1	2222019	1.06628530568466	11292017-4	NA	NA	NA
FFD22	FFD	F	C1	2222019	0.682445477297104	11292017-4	8.4	0.0812435092020362	2.52309034788932
FFD22	FFD	F	D1	2222019	0.460207365033965	11292017-4	8.1	0.0568157240782673	1.76446348069153
FFD22	FFD	F	E1	2222019	0.705899177690382	11292017-4	7.5	0.0941198903587176	2.92297796145086
FFD22	FFD	F	F1	2222019	0.446764390418305	11292017-4	10.8	0.0413670731868801	1.28469171387826
FFD22	FFD	F	A2	08152017-2	0.7652	07112017-1	11.78	0.0649575551782683	2.48879521755817
FFD22	FFD	F	B2	08152017-2	0.6906	07112017-1	11.4	0.0605789473684211	2.32103246622303
FFD22	FFD	F	C2	08152017-2	0.793	07112017-1	12.9	0.0614728682170543	2.35528230716683
FFD22	FFD	F	D2	08152017-2	0.6346	07112017-1	12.7	0.0499685039370079	1.91450206655203
FFD22	FFD	F	E2	08152017-2	0.9693	07112017-1	13.6	0.0712720588235294	2.73073022312373
FFD22	FFD	F	F2	08152017-2	0.8195	07112017-1	11.3	0.0725221238938053	2.77862543654426
FFD22	FFD	F	A3	10262017-2	0.9	12062017-8	11.4	0.0789473684210526	2.94579732914375
FFD22	FFD	F	B3	10262017-2	0.75	12062017-8	10.23	0.0733137829912023	2.73558891758218
FFD22	FFD	F	C3	10262017-2	0.64	12062017-8	7.79	0.0821566110397946	3.06554518805204
FFD22	FFD	F	D3	10262017-2	0.799	12062017-8	7.22	0.110664819944598	4.12928432629097
FFD22	FFD	F	E3	10262017-2	0.649	12062017-8	8.955	0.0724734785036293	2.70423427252348
FFD22	FFD	F	F3	10262017-2	0.659	12062017-8	8.01	0.0822721598002497	3.06985670896454
FFD23	FFD	F	A4	2222019	0.662996067214873	04162019-1	17.2597057489144	0.038412941498529	1.19294849374314
FFD23	FFD	F	B4	2222019	0.490811583839828	04162019-1	NA	NA	NA
FFD23	FFD	F	C4	2222019	0.58691455130497	04162019-1	18.6570743405276	0.0314580164388396	0.976957032262099
FFD23	FFD	F	D4	2222019	0.570897390060779	04162019-1	16.5480588502171	0.0344993570078637	1.07140860272869
FFD23	FFD	F	E4	2222019	0.61809081158384	04162019-1	14.877179337611	0.0415462365249066	1.29025579269896
FFD23	FFD	F	F4	2222019	0.592348945298534	04162019-1	17.1702637889688	0.0344985349426661	1.07138307275361
FFD23	FFD	F	A2	06222017-1	0.609	08142017-12	10.66	0.0571294559099437	1.21552033850944
FFD23	FFD	F	B2	06222017-1	0.637	08142017-12	11.6	0.0549137931034483	1.16837857666911
FFD23	FFD	F	C2	06222017-1	0.457	08142017-12	10.93	0.041811527904849	0.889606976698915
FFD23	FFD	F	D2	06222017-1	0.483	08142017-12	10.73	0.0450139794967381	0.957744244611449
FFD23	FFD	F	E2	06222017-1	0.486	08142017-12	10.9	0.0445871559633028	0.94866289283623
FFD23	FFD	F	F2	06222017-1	0.412	08142017-12	8.51	0.0484136310223267	1.03007725579419
FFD23	FFD	F	A3	08162017-1	1.061	08112017-5	13.21	0.0803179409538229	1.78484313230718
FFD23	FFD	F	B3	08162017-1	0.876	08112017-5	13.4	0.0653731343283582	1.45273631840796
FFD23	FFD	F	C3	08162017-1	0.856	08112017-5	12.55	0.068207171314741	1.51571491810536
FFD23	FFD	F	D3	08162017-1	0.927	08112017-5	14.6	0.0634931506849315	1.41095890410959
FFD23	FFD	F	E3	08162017-1	0.654	08112017-5	12.94	0.0505409582689335	1.1231324059763
FFD23	FFD	F	F3	08162017-1	0.711	08112017-5	10.9	0.0652293577981651	1.44954128440367
FFD29	FFD	F	A2	06222017-1	0.5084	06082017-4	15	0.0338933333333333	0.721134751773049
FFD29	FFD	F	B2	06222017-1	0.4597	06082017-4	11.6	0.0396293103448276	0.843176815847396
FFD29	FFD	F	C2	06222017-1	0.4296	06082017-4	13.8	0.0311304347826087	0.662349676225717
FFD29	FFD	F	D2	06222017-1	0.5759	06082017-4	4.8	0.119979166666667	2.55274822695036
FFD29	FFD	F	E2	06222017-1	0.55	06082017-4	12.9	0.0426356589147287	0.907141679036781
FFD29	FFD	F	F2	06222017-1	0.4774	06082017-4	13.5	0.035362962962963	0.752403467297085
FFD29	FFD	F	A3	08152017-2	0.576	07112017-3	12.5	0.04608	1.76551724137931
FFD29	FFD	F	B3	08152017-2	0.5569	07112017-3	12.95	0.043003861003861	1.64765750972647
FFD29	FFD	F	C3	08152017-2	0.6252	07112017-3	11.5	0.0543652173913043	2.08295852073963
FFD29	FFD	F	D3	08152017-2	0.6168	07112017-3	13.8	0.044695652173913	1.71247709478594
FFD29	FFD	F	E3	08152017-2	0.419	07112017-3	8.6	0.0487209302325581	1.86670230776085
FFD29	FFD	F	F3	08152017-2	0.27	07112017-3	11.6	0.0232758620689655	0.891795481569559
FFD29	FFD	F	A4	10262017-2	0.563	06152017-3	16	0.0351875	1.31296641791045
FFD29	FFD	F	B4	10262017-2	0.446	06152017-3	14.7	0.0303401360544218	1.13209462889634
FFD29	FFD	F	C4	10262017-2	0.36	06152017-3	10.8	0.0333333333333333	1.24378109452736
FFD29	FFD	F	D4	10262017-2	0.421	06152017-3	10.8	0.0389814814814815	1.45453289110006
FFD29	FFD	F	E4	10262017-2	0.378	06152017-3	13.7	0.0275912408759124	1.02952391328031
FFD29	FFD	F	F4	10262017-2	0.354	06152017-3	10.48	0.0337786259541985	1.2603964908283
FFD4	FFD	F	A1	2222019	1.15609581694673	06112017-1	9.55	0.121057153606987	3.75953893189401
FFD4	FFD	F	B1	2222019	1.29624597783339	06112017-1	10.2	0.127082939003274	3.94667512432528
FFD4	FFD	F	C1	2222019	0.857204147300679	06112017-1	8.02	0.106883310137242	3.31935745767832
FFD4	FFD	F	D1	2222019	1.32828030032177	06112017-1	9.6	0.138362531283518	4.29697302122727
FFD4	FFD	F	E1	2222019	1.33743296388988	06112017-1	9.9	0.135094238776756	4.19547325393652
FFD4	FFD	F	F1	2222019	1.00564890954594	06112017-1	9.7	0.103675145314014	3.21972500975199
FFD4	FFD	F	A2	08162017-1	0.922	08112017-2	12.2	0.0755737704918033	1.67941712204007
FFD4	FFD	F	B2	08162017-1	1.11	08112017-2	12.1	0.0917355371900826	2.03856749311295
FFD4	FFD	F	C2	08162017-1	1.189	08112017-2	10.6	0.112169811320755	2.49266247379456
FFD4	FFD	F	D2	08162017-1	0.902	08112017-2	13.6	0.0663235294117647	1.47385620915033
FFD4	FFD	F	E2	08162017-1	0.482	08112017-2	13.1	0.036793893129771	0.817642069550467
FFD4	FFD	F	F2	08162017-1	1.052	08112017-2	12.4	0.0848387096774194	1.88530465949821
FFD4	FFD	F	A3	10262017-1	1.09	08112017-6	12.56	0.0867834394904459	3.09940855323021
FFD4	FFD	F	B3	10262017-1	1.157	08112017-6	10.72	0.107929104477612	3.85461087420043
FFD4	FFD	F	C3	10262017-1	1.267	08112017-6	12.15	0.104279835390947	3.72427983539096
FFD4	FFD	F	D3	10262017-1	1.117	08112017-6	15.01	0.074417055296469	2.65775197487389
FFD4	FFD	F	E3	10262017-1	1.032	08112017-6	11.99	0.0860717264386989	3.07399022995353
FFD4	FFD	F	F3	10262017-1	1.142	08112017-6	13.1	0.087175572519084	3.113413304253
FFD6	FFD	F	A1	06222017-1	1.23	09212017-1	9.9	0.124242424242424	2.64345583494519
FFD6	FFD	F	B1	06222017-1	1.606	09212017-1	9.5	0.169052631578947	3.59686450167972
FFD6	FFD	F	C1	06222017-1	1.642	09212017-1	10.2	0.160980392156863	3.42511472674177
FFD6	FFD	F	D1	06222017-1	1.234	09212017-1	9.2	0.134130434782609	2.85383903792785
FFD6	FFD	F	E1	06222017-1	1.507	09212017-1	11.2	0.134553571428571	2.86284194528874
FFD6	FFD	F	F1	06222017-1	1.996	09212017-1	9.8	0.203673469387755	4.33347807207989
FFD6	FFD	F	A3	08152017-2	0.67	06272017-4	7.89	0.0849176172370089	3.2535485531421
FFD6	FFD	F	B3	08152017-2	0.477	06272017-4	12.8	0.037265625	1.42780172413793
FFD6	FFD	F	C3	08152017-2	0.538	06272017-4	11.03	0.0487760652765186	1.86881476155244
FFD6	FFD	F	D3	08152017-2	0.582	06272017-4	11.65	0.0499570815450644	1.91406442701396
FFD6	FFD	F	E3	08152017-2	0.56	06272017-4	11.23	0.04986642920748	1.91059115737471
FFD6	FFD	F	F3	08152017-2	0.485	06272017-4	8.11	0.0598027127003699	2.29129167434367
FFD6	FFD	F	A4	10262017-2	0.726	11292017-4	9.9	0.0733333333333333	2.7363184079602
FFD6	FFD	F	B4	10262017-2	0.677	11292017-4	10.31	0.0656644034917556	2.45016430939387
FFD6	FFD	F	C4	10262017-2	0.635	11292017-4	10.776	0.0589272457312546	2.19877782579308
FFD6	FFD	F	D4	10262017-2	0.789	11292017-4	9.7	0.081340206185567	3.03508232035698
FFD6	FFD	F	E4	10262017-2	0.694	11292017-4	11.32	0.0613074204946996	2.2875903169664
FFD6	FFD	F	F4	10262017-2	0.587	11292017-4	9.5	0.0617894736842105	2.30557737627651
PC113	PC	F	A2	06222017-1	0.377	12042017-5	9.9	0.0380808080808081	0.81022995916613
PC113	PC	F	B2	06222017-1	0.365	12042017-5	10.88	0.0335477941176471	0.71378285356696
PC113	PC	F	C2	06222017-1	0.336	12042017-5	10.73	0.031314072693383	0.66625686581666
PC113	PC	F	D2	06222017-1	0.281	12042017-5	10.55	0.0266350710900474	0.566703640213774
PC113	PC	F	E2	06222017-1	0.29	12042017-5	9.63	0.0301142263759086	0.640728220764013
PC113	PC	F	F2	06222017-1	0.461	12042017-5	12.5	0.03688	0.78468085106383
PC113	PC	F	A3	08162017-1	0.538	08142017-6	9.65	0.0557512953367876	1.23891767415084
PC113	PC	F	B3	08162017-1	0.491	08142017-6	10.1	0.0486138613861386	1.08030803080308
PC113	PC	F	C3	08162017-1	0.584	08142017-6	13.5	0.0432592592592593	0.961316872427984
PC113	PC	F	D3	08162017-1	0.464	08142017-6	11.8	0.0393220338983051	0.873822975517891
PC113	PC	F	E3	08162017-1	0.708	08142017-6	9	0.0786666666666667	1.74814814814815
PC113	PC	F	F3	08162017-1	0.477	08142017-6	9.62	0.0495841995841996	1.1018711018711
PC113	PC	F	A4	10262017-1	0.425	12042017-2	14.6	0.0291095890410959	1.03962818003914
PC113	PC	F	B4	10262017-1	0.525	12042017-2	17.9	0.0293296089385475	1.04748603351955
PC113	PC	F	C4	10262017-1	0.464	12042017-2	16.53	0.0280701754385965	1.00250626566416
PC113	PC	F	D4	10262017-1	0.413	12042017-2	16.33	0.0252908756889161	0.903245560318432
PC113	PC	F	E4	10262017-1	0.426	12042017-2	13.2	0.0322727272727273	1.1525974025974
PC113	PC	F	F4	10262017-1	0.705	12042017-2	17.4	0.0405172413793103	1.44704433497537
PC114	PC	F	A1	06222017-1	0.981	09262017-3	11.3	0.0868141592920354	1.84710977217097
PC114	PC	F	B1	06222017-1	1.073	09262017-3	10.4	0.103173076923077	2.19517184942717
PC114	PC	F	C1	06222017-1	0.968	09262017-3	10.2	0.0949019607843137	2.0191906549854
PC114	PC	F	D1	06222017-1	0.895	09262017-3	10.5	0.0852380952380952	1.81357649442756
PC114	PC	F	E1	06222017-1	0.988	09262017-3	10.83	0.0912280701754386	1.94102276969018
PC114	PC	F	F1	06222017-1	0.879	09262017-3	9.9	0.0887878787878788	1.88910380399742
PC114	PC	F	A2	08162017-1	0.616	06272017-2	11.98	0.0514190317195326	1.14264514932295
PC114	PC	F	B2	08162017-1	0.487	06272017-2	10.3	0.0472815533980583	1.05070118662352
PC114	PC	F	C2	08162017-1	0.601	06272017-2	10.75	0.055906976744186	1.24237726098191
PC114	PC	F	D2	08162017-1	0.593	06272017-2	10.825	0.0547806004618938	1.21734667693097
PC114	PC	F	E2	08162017-1	0.304	06272017-2	12.33	0.0246553122465531	0.54789582770118
PC114	PC	F	F2	08162017-1	0.414	06272017-2	6.8	0.0608823529411765	1.35294117647059
PC114	PC	F	A4	10262017-2	0.721	12062017-2	9.21	0.0782844733984799	2.92106244024179
PC114	PC	F	B4	10262017-2	0.857	12062017-2	13.21	0.0648750946252839	2.42071248601806
PC114	PC	F	C4	10262017-2	0.581	12062017-2	11.68	0.0497431506849315	1.85608771212431
PC114	PC	F	D4	10262017-2	0.628	12062017-2	11.89	0.0528174936921783	1.97080200343949
PC114	PC	F	E4	10262017-2	0.43	12062017-2	12.78	0.0336463223787167	1.25545979025062
PC114	PC	F	F4	10262017-2	0.567	12062017-2	12.15	0.0466666666666667	1.74129353233831
PC12	PC	F	A2	08162017-1	0.4931	08142017-5	9.35	0.0527379679144385	1.17195484254308
PC12	PC	F	B2	08162017-1	0.5127	08142017-5	9.12	0.0562171052631579	1.24926900584795
PC12	PC	F	C2	08162017-1	0.3398	08142017-5	10.3	0.0329902912621359	0.73311758360302
PC12	PC	F	D2	08162017-1	0.4625	08142017-5	8.1	0.0570987654320988	1.26886145404664
PC12	PC	F	E2	08162017-1	0.4451	08142017-5	9.8	0.0454183673469388	1.0092970521542
