Genotype	Pop	Sex	Sample	TGA.Plate	TGA.Raw	Prot.Plate	Protein	TGA.Protein
FFD23	FFD	F	C5	6092016	3.63501544799176	6102016	9.07699781394219	0.400464506271932
FFD23	FFD	F	D5	6092016	2.48486096807415	6102016	9.38304590721399	0.264824556188488
FFD23	FFD	F	E5	6092016	3.19011328527291	6102016	9.9506112865355	0.320594704527305
FFD23	FFD	F	F5	6092016	3.45211122554068	6102016	9.72148004210185	0.35510140540229
FFD23	FFD	F	A6	06102016-2	3.07727067329417	06102016-2	7.92871607938436	0.388117148159139
FFD23	FFD	F	B6	06102016-2	3.30682331676457	06102016-2	10.2737950587282	0.321869698379395
FFD23	FFD	F	C6	06102016-2	3.50474469046543	06102016-2	12.3102470635885	0.284701409513692
FFD23	FFD	F	D6	06102016-2	3.59873474920922	06102016-2	6.67557715674362	0.539089679395556
FFD23	FFD	F	E6	06102016-2	3.66199728874831	06102016-2	9.01255569056298	0.406321737637946
FFD23	FFD	F	F6	06102016-2	3.40533212833258	06102016-2	10.392061563386	0.327685907898244
FFD29	FFD	F	A2	3102016	1.50970164823701	3102016	13.8369948896265	0.109106179504975
FFD29	FFD	F	B2	3102016	2.22574587940747	3102016	8.97529108055424	0.247985927078147
FFD29	FFD	F	C2	3102016	2.04464844564991	3102016	9.39571150097466	0.217615073157345
FFD29	FFD	F	D2	3102016	2.50532025871062	3102016	9.43364417048627	0.265572901991435
FFD29	FFD	F	E2	3102016	1.7266847485917	3102016	12.2965070333491	0.140420750698453
FFD29	FFD	F	F2	3102016	1.05820988942207	3102016	15.3564090406196	0.0689099832273926
FFD29	FFD	F	A4	6032016	2.25260915867945	6022016	12.9721691098364	0.17364938273672
FFD29	FFD	F	B4	6032016	2.28242811501597	6022016	9.91884427448481	0.230110288240666
FFD29	FFD	F	C4	6032016	1.39637912673056	6022016	12.6330996388358	0.11053337396611
FFD29	FFD	F	D4	6032016	3.27582534611289	6022016	9.28064584661143	0.352973855511248
FFD29	FFD	F	E4	6032016	NA	6022016	13.1021882302953	NA
FFD29	FFD	F	F4	6032016	2.16144834930777	6022016	12.6526449968133	0.170829763251254
FFD29	FFD	F	A1	1282016-2	1.97325408618128	2012016	13.5227221240542	0.145921366133174
FFD29	FFD	F	B1	1282016-2	2.32986627043091	2012016	10.8685605545739	0.214367510649827
FFD29	FFD	F	C1	1282016-2	2.06495436213118	2012016	11.6877350369263	0.176677034139391
FFD29	FFD	F	D1	1282016-2	2.58713648906814	2012016	12.4298853699425	0.208138402895031
FFD29	FFD	F	E1	1282016-2	2.02929314370622	2012016	15.6168728195369	0.129942349352269
FFD29	FFD	F	F1	1282016-2	1.80598599023562	2012016	11.2944587920801	0.159900179679438
FFD4	FFD	F	A3	4272016	2.07465801066543	4282016	10.5250721974271	0.197115798518948
FFD4	FFD	F	B3	4272016	1.5534430790633	4282016	9.44254835039818	0.164515236927306
FFD4	FFD	F	C3	4272016	1.50057964293995	4282016	9.58956856567778	0.156480412300372
FFD4	FFD	F	D3	4272016	1.38650591235799	4282016	9.38391528835215	0.147753455754124
FFD4	FFD	F	E3	4272016	1.91421284488755	4282016	8.46153846153846	0.226225154395801
FFD4	FFD	F	F3	4272016	0.890331555761651	4282016	8.50616959831977	0.104668916540004
FFD4	FFD	F	A4	6102016	1.94125621328513	6092016	9.31470230862697	0.20840775678759
FFD4	FFD	F	B4	6102016	1.93583370989607	6092016	10.9955447549615	0.176056189396397
FFD4	FFD	F	C4	6102016	2.19611387257117	6092016	12.2162818955043	0.179769416861555
FFD4	FFD	F	D4	6102016	2.25485765928604	6092016	8.57351154313487	0.263002813717745
