Genotype	Pop	Sex	Sample	Kit	Glu-Plate	Glu	Prot-Plate	Protein	GluNorm	Glu.CanS
FFD29	FFD	M	F3	HK	3182016	0.292239832535885	03182016-2	6.94362466893681	0.0420875042171068	NA
PC113	PC	M	A3	HK	3182016	0.158791866028708	03182016-2	5.84714339765418	0.0271571697886551	NA
PC113	PC	M	B3	HK	3182016	0.162828947368421	03182016-2	6.97086643965191	0.0233584947836917	NA
PC113	PC	M	C3	HK	3182016	0.146680622009569	03182016-2	NA	NA	NA
PC113	PC	M	D3	HK	3182016	0.192209928229665	03182016-2	4.27014755959137	0.045012479205299	NA
PC113	PC	M	E3	HK	3182016	0.167987440191388	03182016-2	4.92924706772607	0.0340797362930487	NA
PC113	PC	M	F3	HK	3182016	0.154530502392344	03182016-2	4.36246689368142	0.0354227335492598	NA
PC85	PC	M	A3	HK	3182016	0.369617224880383	3182016	4.55845629965948	0.0810838583465182	NA
PC85	PC	M	B3	HK	3182016	0.232132177033493	3182016	4.75293227393114	0.048839782192288	NA
PC85	PC	M	C3	HK	3182016	0.193331339712919	3182016	5.01475595913734	0.0385524921428433	NA
PC85	PC	M	D3	HK	3182016	0.331937799043062	3182016	4.83995459704881	0.0685828332450604	NA
PC85	PC	M	E3	HK	3182016	0.330816387559809	3182016	5.27884979190314	0.0626682706651788	NA
PC85	PC	M	F3	HK	3182016	0.273848684210526	3182016	4.83844116534241	0.056598535530843	NA
FFD22	FFD	F	A3	HK	6082016	0.569652444193275	03182016-2	9.22587968217934	0.0617450545440792	NA
FFD22	FFD	F	B3	HK	6082016	0.659508335688048	03182016-2	8.73931138857359	0.0754645653833021	NA
FFD22	FFD	F	C3	HK	6082016	0.71312517660356	03182016-2	9.11388573590617	0.0782460080439725	NA
FFD22	FFD	F	D3	HK	6082016	0.810610341904493	03182016-2	10.049943246311	0.0806582009507408	NA
FFD22	FFD	F	E3	HK	6082016	0.923142130545352	03182016-2	10.0703745743473	0.0916690956954979	NA
FFD22	FFD	F	F3	HK	6082016	0.636408589997174	03182016-2	9.20090805902384	0.0691680197122514	NA
FFD29	FFD	F	A3	HK	6082016	0.38866911556937	03182016-2	8.90886046779583	0.0436272536733906	NA
FFD29	FFD	F	B3	HK	6082016	0.434868606951116	03182016-2	12.0159772631256	0.0361908646653013	NA
FFD29	FFD	F	C3	HK	6082016	0.587666007346708	03182016-2	13.5115412681953	0.0434936322719903	NA
FFD29	FFD	F	D3	HK	6082016	0.397146086465103	03182016-2	12.843261512463	0.0309225258770691	NA
FFD29	FFD	F	E3	HK	6082016	0.506499011020062	03182016-2	9.32135038598917	0.0543375144208049	NA
FFD29	FFD	F	F3	HK	6082016	0.36578129415089	03182016-2	10.0464723278411	0.0364089286482406	NA
PC113	PC	F	A4	HK	6082016	0.36832438541961	06032016-2	7.27597195666029	0.0506220182834065	NA
PC113	PC	F	B4	HK	6082016	0.37213902232269	06032016-2	8.39430635224134	0.0443323136787027	NA
PC113	PC	F	C4	HK	6082016	0.277620796835264	06032016-2	7.20798810282558	0.0385157124116832	NA
PC113	PC	F	D4	HK	6082016	0.326151455213337	06032016-2	6.28340769067346	0.0519067791347437	NA
PC113	PC	F	E4	HK	6082016	0.371927098050297	06032016-2	8.70958147439983	0.0427032113016574	NA
PC113	PC	F	F4	HK	6082016	0.302204012432891	06032016-2	9.71999150201827	0.0310909749633157	NA
PC136	PC	F	A3	HK	6082016	0.456272958462843	3142016	7.44079449961803	0.0613204622821213	NA
PC136	PC	F	B3	HK	6082016	0.514340209098616	3142016	9.81325863678805	0.052412784390544	NA
PC136	PC	F	C3	HK	6082016	0.647216727889234	3142016	9.49325184619302	0.0681765045713794	NA
PC136	PC	F	D3	HK	6082016	0.407530375812376	3142016	10.9090909090909	0.0373569511161345	NA
PC136	PC	F	E3	HK	6082016	0.532989545069228	3142016	9.51107715813598	0.0560388204414152	NA
PC136	PC	F	F3	HK	6082016	0.437411698219836	3142016	9.66047024870554	0.045278509944011	NA
PC200	PC	F	A3	HK	6082016	0.779033625317887	03112016-2	9.89130937514454	0.0787594034087629	NA
PC200	PC	F	B3	HK	6082016	0.557148912122068	03112016-2	10.1216409971787	0.0550453145174154	NA
PC200	PC	F	C3	HK	6082016	0.458392201186776	03112016-2	11.1761713149253	0.0410151373193978	NA
PC200	PC	F	D3	HK	6082016	0.486790053687482	03112016-2	11.6285093196429	0.0418617761147764	NA
PC200	PC	F	E3	HK	6082016	0.626660073467081	03112016-2	9.46302206188428	0.0662219816638893	NA
PC200	PC	F	F3	HK	6082016	0.73919186210794	03112016-2	9.815	0.0753124668474722	NA
FFD22	FFD	M	A3	HK	6082016	0.329330319299237	3182016	4.38529784537389	0.075098734661011	NA
FFD22	FFD	M	B3	HK	6082016	0.32127719694829	3182016	5.45454545454545	0.0589008194405199	NA
FFD22	FFD	M	C3	HK	6082016	0.406894602995196	3182016	4.77704804701002	0.0851769961262737	NA
FFD22	FFD	M	D3	HK	6082016	0.445888669115569	3182016	5.52444598071974	0.0807119249010156	NA
FFD22	FFD	M	E3	HK	6082016	0.446524441932749	3182016	5.32626646695088	0.0838344166037134	NA
FFD22	FFD	M	F3	HK	6082016	0.34670810963549	3182016	5.41997926028344	0.0639685306872113	NA
PC113	PC	M	A4	HK	6082016	0.230785532636338	06032016-2	4.5234756745273	0.0510195144711273	NA
PC113	PC	M	B4	HK	6082016	0.189460299519638	06032016-2	4.96282132993414	0.038175925934886	NA
PC113	PC	M	C4	HK	6082016	0.227182820005651	06032016-2	4.49883152751222	0.0504981834986116	NA
PC113	PC	M	D4	HK	6082016	0.200480361684092	06032016-2	4.1980029742936	0.0477561266420558	NA
PC113	PC	M	E4	HK	6082016	0.168691720825092	06032016-2	4.85829615466327	0.0347224037923608	NA
PC113	PC	M	F4	HK	6082016	0.155976264481492	06032016-2	4.62290206076057	0.0337399024317271	NA
PC136	PC	M	A3	HK	6082016	0.223792031647358	3142016	5.19056107291402	0.0431151909213004	NA
PC136	PC	M	B3	HK	6082016	0.282283130827918	3142016	4.12104235633647	0.0684979930851433	NA
PC136	PC	M	C3	HK	6082016	0.290760101723651	3142016	5.60648501824973	0.0518613892264395	NA
PC136	PC	M	D3	HK	6082016	0.296270132805877	3142016	4.99618029029794	0.0592993278047237	NA
PC136	PC	M	E3	HK	6082016	0.268508053122351	3142016	4.88074017485782	0.055013797805816	NA
PC136	PC	M	F3	HK	6082016	0.269143825939531	3142016	5.1854681266446	0.0519034770566969	NA
FFD19	FFD	F	A5	HK	05282019-1	0.336875	04292019-4	8.75334608030593	0.0384852828746177	0.888805609113573
FFD19	FFD	F	B5	HK	05282019-1	0.31875	04292019-4	9.98342893562779	0.0319279079417773	0.737365079486774
FFD19	FFD	F	C5	HK	05282019-1	0.643125	04292019-4	10.6373486297004	0.0604591446974239	1.3962850969382
FFD19	FFD	F	D5	HK	05282019-1	0.413125	04292019-4	8.95729764181007	0.0461216112850434	1.06516423291093
FFD19	FFD	F	E5	HK	05282019-1	0.3940625	04292019-4	9.83046526449968	0.0400858443010892	0.925770076237626
FFD19	FFD	F	F5	HK	05282019-1	0.3253125	04292019-4	9.46972594008923	0.0343528949051016	0.793369397346457
FFD22	FFD	F	A5	HK	05282019-1	0.363125	04292019-4	14.8738722150617	0.0244136156845754	0.563824842599894
FFD22	FFD	F	B5	HK	05282019-1	0.3715625	04292019-4	12.3770944577426	0.0300201716379054	0.693306504339617
FFD22	FFD	F	C5	HK	05282019-1	0.325	04292019-4	17.2589455594427	0.0188308143669986	0.434891786766711
FFD22	FFD	F	D5	HK	05282019-1	0.3271875	04292019-4	12.9957650524765	0.0251764708486824	0.581442744773266
FFD22	FFD	F	E5	HK	05282019-1	0.3446875	04292019-4	14.1115816608359	0.0244258587225992	0.56410759174594
FFD22	FFD	F	F5	HK	05282019-1	0.3521875	04292019-4	12.3071257595286	0.0286165516532017	0.660890338411125
FFD4	FFD	F	A5	HK	05282019-1	0.5084375	04292019-3	13.2074540293718	0.0384962536208186	0.889058975076642
